Issue key,Rec#,Summary,Report date,Due Date,Implementation Status,Description,Response,Implementation Status Description
PREOPS-3542,M-III.6-25,"Hold a risk register scrub/workshop",JOR_2023_02,2023-09-01,"Implemented","Hold a dedicated risk register scrub/workshop with subsystem leads and risk owners as well experts in risk management, in addition to the upcoming cost scrub to ensure focus on risk and complete the risk register. This activity should engage all levels of management that will be involved in operations [by September 2023].","This was completed in May 2023. The scrub is done and the RDO is updating budgets and Risks.","A pre-scrub risk workshop was held in April 2023, and served to homogenize and finalize the cost and schedule impact analysis of the risk register, as well as surface some new candidate risks. This workshop was attended by the Risk Board, which includes several internal experts in risk management."

PREOPS-3541,M-III.6-24,"Develop, document, and socialize detailed decision-making processes",JOR_2023_02,2024-06-01,"In Progress","Develop, document, and socialize the detailed decision-making processes for both short-term tactical choices and longer-term strategic operations choices that impact scientific results. This should include the specific lines of communication and decision-making authority within the operations team as well as how feedback is solicited and incorporated from science collaborations and other stakeholders [by one year before operations start].","We will do this. A start has been made in rtn-005.","Authority and responsibility expectations for the Rubin Operations management team have been added to rtn-005. Descriptions of processes for taking in community input an dRubin lines of communication will be added to RDO-018."

PREOPS-3540,M-III.6-23,"Change management plan and resourcing",JOR_2023_02,2024-03-01,"In Progress","Ensure that sufficient resourcing is allocated during the pre-operations phase to allow all future operations staff to become engaged, regardless of their ongoing construction activities [by March 2024]. This includes but is not limited to:
• Develop a plan to transition the existing internal project Science Team to operations, including detailing the processes for this group within the operations plan.
• Continue work to solidify the processes that allow delegating responsibility to lower-level managers and enabling them to make appropriate decisions.
• Deliver the change management plan that is understood and accepted by all staff with high priority.","We will do the first two bullets. It is not clear we need a change management plan so much as a transition activities that includes regular communication down to the individual team member, clarity and sign off on individual roles and responsibilities, etc.","Work is being scheduled on this for FY24 Q1 and Q2."

PREOPS-3539,M-III.6-22,"Best hiring practices for all Rubin hiring committees",JOR_2023_02,2024-03-01,"In Progress","Complete and implement a set of best hiring practices for all Rubin hiring committees, regardless of parent organization for the hire, that includes within it best practices to ensure diversity, equity, and inclusion [by March 2024].","We will do this.","Work on a Rubin Hiring Toolkit that addresses this recommendation has been scheduled for FY24 Q1 and Q2."

PREOPS-3538,M-III.6-21,"Formalize advisory committee processes",JOR_2023_02,2024-03-01,"In Progress","Formalize the make-up and meeting cadence of the advisory committees, particularly for the case of the science collaborations, to ensure the science collaborations are appropriately represented and that the process for acknowledging and responding to their advice is clear. Additionally, create a single unified organization chart that shows all advisory committees and the communication lines to management [by March 2024].","We will do this. Most of it already is documented in RDO-018.","Work is being scheduled to update RDO-018, the Rubin Operations Plan, in FY24 Q1 and Q2 prior to the next review."

